nutrition,value,measure,food_product,pr_daily_norm
"Vitamin C, total ascorbic acid",18.0,MG,basil,20.0
Vitamin B-12,0.0,UG,basil,0.0
"Fatty acids, total saturated",0.041,G,basil,0.20500000000000002
Cholesterol,0.0,MG,basil,0.0
"Vitamin A, RAE",264,UG,basil,29.333333333333332
Vitamin K (phylloquinone),415,UG,basil,345.83333333333337
"Folate, DFE",68.0,UG,basil,17.0
Vitamin D (D2 + D3),0.0,UG,basil,0.0
Total lipid (fat),0.64,G,basil,0.8205128205128205
"Carbohydrate, by difference",2.65,G,basil,0.9636363636363635
"Calcium, Ca",177,MG,basil,13.615384615384615
"Potassium, K",295,MG,basil,6.276595744680851
"Zinc, Zn",0.81,MG,basil,7.363636363636364
"Selenium, Se",0.3,UG,basil,0.5454545454545454
Vitamin E (alpha-tocopherol),0.8,MG,basil,5.333333333333334
Niacin,0.902,MG,basil,5.6375
Pantothenic acid,0.209,MG,basil,4.18
Vitamin B-6,0.155,MG,basil,9.117647058823529
"Choline, total",11.4,MG,basil,2.0727272727272728
Thiamin,0.034,MG,basil,2.8333333333333335
Riboflavin,0.076,MG,basil,5.846153846153846
"Fiber, total dietary",1.6,G,basil,5.714285714285714
"Magnesium, Mg",64.0,MG,basil,15.238095238095239
"Phosphorus, P",56.0,MG,basil,4.4799999999999995
"Sodium, Na",4.0,MG,basil,0.17391304347826086
"Copper, Cu",0.385,MG,basil,42.77777777777778
"Manganese, Mn",1.15,MG,basil,50.0
Protein,3.15,G,basil,6.3
Protein,1.34,G,bean,2.68
Total lipid (fat),2.15,G,bean,2.7564102564102564
"Carbohydrate, by difference",29.6,G,bean,10.763636363636364
"Fiber, total dietary",1.8,G,bean,6.42857142857143
"Calcium, Ca",39.0,MG,bean,3.0
"Iron, Fe",0.12,MG,bean,0.6666666666666666
"Magnesium, Mg",8.0,MG,bean,1.9047619047619049
"Phosphorus, P",37.0,MG,bean,2.96
"Potassium, K",134,MG,bean,2.851063829787234
"Sodium, Na",62.0,MG,bean,2.6956521739130435
"Zinc, Zn",0.14,MG,bean,1.2727272727272727
"Copper, Cu",0.025,MG,bean,2.777777777777778
"Selenium, Se",0.4,UG,bean,0.7272727272727273
"Vitamin A, RAE",5.0,UG,bean,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,bean,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,bean,0.0
