nutrition,value,measure,food_product
"Carotene, beta",0.0,UG,asian pear
"Carotene, alpha",0.0,UG,asian pear
Vitamin E (alpha-tocopherol),0.12,MG,asian pear
Vitamin D (D2 + D3),0.0,UG,asian pear
"Cryptoxanthin, beta",0.0,UG,asian pear
Lycopene,0.0,UG,asian pear
Lutein + zeaxanthin,50.0,UG,asian pear
"Vitamin C, total ascorbic acid",3.8,MG,asian pear
Thiamin,0.009,MG,asian pear
Riboflavin,0.01,MG,asian pear
Niacin,0.219,MG,asian pear
Vitamin B-6,0.022,MG,asian pear
"Folate, total",8.0,UG,asian pear
Vitamin B-12,0.0,UG,asian pear
"Choline, total",5.1,MG,asian pear
Vitamin K (phylloquinone),4.5,UG,asian pear
Folic acid,0.0,UG,asian pear
"Folate, food",8.0,UG,asian pear
"Folate, DFE",8.0,UG,asian pear
"Vitamin E, added",0.0,MG,asian pear
"Vitamin B-12, added",0.0,UG,asian pear
Cholesterol,0.0,MG,asian pear
"Fatty acids, total saturated",0.012,G,asian pear
SFA 4:0,0.0,G,asian pear
SFA 6:0,0.0,G,asian pear
SFA 8:0,0.0,G,asian pear
SFA 10:0,0.0,G,asian pear
SFA 12:0,0.0,G,asian pear
SFA 14:0,0.0,G,asian pear
SFA 16:0,0.01,G,asian pear
SFA 18:0,0.002,G,asian pear
MUFA 18:1,0.047,G,asian pear
PUFA 18:2,0.054,G,asian pear
PUFA 18:3,0.001,G,asian pear
PUFA 20:4,0.0,G,asian pear
PUFA 22:6 n-3 (DHA),0.0,G,asian pear
MUFA 16:1,0.001,G,asian pear
PUFA 18:4,0.0,G,asian pear
MUFA 20:1,0.001,G,asian pear
PUFA 20:5 n-3 (EPA),0.0,G,asian pear
MUFA 22:1,0.0,G,asian pear
PUFA 22:5 n-3 (DPA),0.0,G,asian pear
"Fatty acids, total monounsaturated",0.049,G,asian pear
"Fatty acids, total polyunsaturated",0.055,G,asian pear
Folic acid,0.0,UG,asparagus
"Vitamin D (D2 + D3), International Units",0.0,IU,asparagus
SFA 17:0,0.0,G,asparagus
SFA 24:0,0.0,G,asparagus
MUFA 17:1,0.0,G,asparagus
MUFA 15:1,0.0,G,asparagus
"Fatty acids, total saturated",0.04,G,asparagus
SFA 8:0,0.0,G,asparagus
SFA 12:0,0.0,G,asparagus
SFA 14:0,0.0,G,asparagus
PUFA 22:6 n-3 (DHA),0.0,G,asparagus
SFA 22:0,0.0,G,asparagus
MUFA 14:1,0.0,G,asparagus
MUFA 16:1,0.0,G,asparagus
PUFA 20:5 n-3 (EPA),0.0,G,asparagus
PUFA 22:5 n-3 (DPA),0.0,G,asparagus
"Tocopherol, delta",0.0,MG,asparagus
"Vitamin C, total ascorbic acid",5.6,MG,asparagus
"Folate, total",52.0,UG,asparagus
"Folate, food",52.0,UG,asparagus
Tryptophan,0.027,G,asparagus
Threonine,0.084,G,asparagus
Methionine,0.031,G,asparagus
Phenylalanine,0.075,G,asparagus
Tyrosine,0.052,G,asparagus
Alanine,0.115,G,asparagus
Glutamic acid,0.233,G,asparagus
Glycine,0.093,G,asparagus
Proline,0.071,G,asparagus
Protein,2.2,G,asparagus
"Tocopherol, beta",0.0,MG,asparagus
"Tocopherol, gamma",0.09,MG,asparagus
Betaine,0.6,MG,asparagus
Isoleucine,0.075,G,asparagus
Leucine,0.128,G,asparagus
Lysine,0.104,G,asparagus
Cystine,0.031,G,asparagus
Valine,0.115,G,asparagus
Arginine,0.091,G,asparagus
Histidine,0.049,G,asparagus
Aspartic acid,0.508,G,asparagus
Serine,0.106,G,asparagus
Vitamin E (alpha-tocopherol),1.13,MG,asparagus
"Sugars, Total",1.88,G,asparagus
SFA 4:0,0.0,G,asparagus
SFA 6:0,0.0,G,asparagus
SFA 10:0,0.0,G,asparagus
SFA 16:0,0.04,G,asparagus
SFA 18:0,0.0,G,asparagus
SFA 20:0,0.0,G,asparagus
MUFA 18:1,0.0,G,asparagus
PUFA 18:2,0.04,G,asparagus
PUFA 18:3,0.01,G,asparagus
PUFA 20:4,0.0,G,asparagus
PUFA 18:4,0.0,G,asparagus
