nutrition,value,measure,food_product
Lutein + zeaxanthin,0.0,UG,sparkling wine
"Vitamin C, total ascorbic acid",0.0,MG,sparkling wine
Thiamin,0.0,MG,sparkling wine
Riboflavin,0.0,MG,sparkling wine
Niacin,0.0,MG,sparkling wine
Vitamin B-6,0.0,MG,sparkling wine
"Folate, total",0.0,UG,sparkling wine
Vitamin B-12,0.0,UG,sparkling wine
"Choline, total",0.0,MG,sparkling wine
Vitamin K (phylloquinone),0.0,UG,sparkling wine
Folic acid,0.0,UG,sparkling wine
"Folate, food",0.0,UG,sparkling wine
"Folate, DFE",0.0,UG,sparkling wine
"Vitamin E, added",0.0,MG,sparkling wine
"Vitamin B-12, added",0.0,UG,sparkling wine
Cholesterol,0.0,MG,sparkling wine
"Fatty acids, total saturated",0.0,G,sparkling wine
SFA 4:0,0.0,G,sparkling wine
SFA 6:0,0.0,G,sparkling wine
SFA 8:0,0.0,G,sparkling wine
SFA 10:0,0.0,G,sparkling wine
SFA 12:0,0.0,G,sparkling wine
SFA 14:0,0.0,G,sparkling wine
SFA 16:0,0.0,G,sparkling wine
SFA 18:0,0.0,G,sparkling wine
MUFA 18:1,0.0,G,sparkling wine
PUFA 18:2,0.0,G,sparkling wine
PUFA 18:3,0.0,G,sparkling wine
PUFA 20:4,0.0,G,sparkling wine
PUFA 22:6 n-3 (DHA),0.0,G,sparkling wine
MUFA 16:1,0.0,G,sparkling wine
PUFA 18:4,0.0,G,sparkling wine
MUFA 20:1,0.0,G,sparkling wine
PUFA 20:5 n-3 (EPA),0.0,G,sparkling wine
MUFA 22:1,0.0,G,sparkling wine
PUFA 22:5 n-3 (DPA),0.0,G,sparkling wine
"Fatty acids, total monounsaturated",0.0,G,sparkling wine
"Fatty acids, total polyunsaturated",0.0,G,sparkling wine
Total lipid (fat),12.6,G,spice
"Carbohydrate, by difference",69.3,G,spice
Energy,1430.0,kJ,spice
Water,8.46,G,spice
"Calcium, Ca",682,MG,spice
"Potassium, K",663,MG,spice
"Zinc, Zn",2.37,MG,spice
Niacin,2.24,MG,spice
Cholesterol,0.0,MG,spice
Phytosterols,71.0,MG,spice
Vitamin B-12,0.0,UG,spice
"Fiber, total dietary",14.8,G,spice
"Iron, Fe",19.7,MG,spice
"Magnesium, Mg",136,MG,spice
"Phosphorus, P",118,MG,spice
"Sodium, Na",52.0,MG,spice
"Copper, Cu",0.484,MG,spice
"Manganese, Mn",15.8,MG,spice
"Vitamin A, IU",261,IU,spice
"Vitamin C, total ascorbic acid",23.4,MG,spice
Thiamin,0.131,MG,spice
Riboflavin,0.137,MG,spice
Protein,5.76,G,spice
Ash,3.9,G,spice
Folic acid,0.0,UG,spice
SFA 4:0,0.0,G,spice
SFA 6:0,0.0,G,spice
SFA 10:0,0.036,G,spice
SFA 16:0,0.871,G,spice
SFA 18:0,0.738,G,spice
MUFA 18:1,0.764,G,spice
PUFA 18:2,0.715,G,spice
PUFA 18:3,0.065,G,spice
PUFA 20:4,0.0,G,spice
PUFA 18:4,0.0,G,spice
MUFA 20:1,0.0,G,spice
MUFA 22:1,0.0,G,spice
"Fatty acids, total monounsaturated",1.1,G,spice
SFA 8:0,0.012,G,spice
SFA 12:0,0.152,G,spice
SFA 14:0,4.64,G,spice
PUFA 22:6 n-3 (DHA),0.0,G,spice
MUFA 16:1,0.292,G,spice
PUFA 20:5 n-3 (EPA),0.0,G,spice
PUFA 22:5 n-3 (DPA),0.0,G,spice
"Selenium, Se",9.3,UG,spice
Vitamin K (phylloquinone),28.4,UG,spice
"Sugars, Total",7.76,G,spice
"Vitamin D (D2 + D3), International Units",0.0,IU,spice
"Alcohol, ethyl",0.0,G,spice
"Fatty acids, total saturated",6.53,G,spice
"Fatty acids, total polyunsaturated",0.78,G,spice
"Folate, food",24.0,UG,spice
"Folate, total",24.0,UG,spice
"Carotene, beta",99.0,UG,spice
"Carotene, alpha",1.0,UG,spice
"Cryptoxanthin, beta",114,UG,spice
Lycopene,7.0,UG,spice
Lutein + zeaxanthin,100,UG,spice
"Folate, DFE",24.0,UG,spice
Vitamin E (alpha-tocopherol),1.93,MG,spice
"Vitamin A, RAE",13.0,UG,spice
Retinol,0.0,UG,spice
"Vitamin E, added",0.0,MG,spice
"Vitamin B-12, added",0.0,UG,spice
Vitamin D (D2 + D3),0.0,UG,spice
Vitamin B-6,0.4,MG,spice
Caffeine,0.0,MG,spice
Theobromine,0.0,MG,spice
"Choline, total",20.8,MG,spice
Protein,2.94,G,spinach
Total lipid (fat),1.09,G,spinach
"Carbohydrate, by difference",2.52,G,spinach
Energy,32.0,KCAL,spinach
"Alcohol, ethyl",0.0,G,spinach
Water,92.2,G,spinach
Caffeine,0.0,MG,spinach
Theobromine,0.0,MG,spinach
"Sugars, total including NLEA",1.68,G,spinach
"Fiber, total dietary",0.6,G,spinach
"Calcium, Ca",62.0,MG,spinach
"Iron, Fe",0.5,MG,spinach
"Magnesium, Mg",37.0,MG,spinach
"Phosphorus, P",58.0,MG,spinach
"Potassium, K",250,MG,spinach
"Sodium, Na",192,MG,spinach
"Zinc, Zn",0.32,MG,spinach
"Copper, Cu",0.053,MG,spinach
"Selenium, Se",0.5,UG,spinach
Retinol,16.0,UG,spinach
"Vitamin A, RAE",122,UG,spinach
"Carotene, beta",1260.0,UG,spinach
"Carotene, alpha",0.0,UG,spinach
Vitamin E (alpha-tocopherol),0.74,MG,spinach
Vitamin D (D2 + D3),0.3,UG,spinach
"Cryptoxanthin, beta",3.0,UG,spinach
Lycopene,0.0,UG,spinach
Lutein + zeaxanthin,2690.0,UG,spinach
"Vitamin C, total ascorbic acid",8.3,MG,spinach
Thiamin,0.041,MG,spinach
Riboflavin,0.118,MG,spinach
Niacin,0.851,MG,spinach
Vitamin B-6,0.093,MG,spinach
"Folate, total",32.0,UG,spinach
Vitamin B-12,0.17,UG,spinach
"Choline, total",13.7,MG,spinach
Vitamin K (phylloquinone),180,UG,spinach
Folic acid,0.0,UG,spinach
"Folate, food",32.0,UG,spinach
"Folate, DFE",32.0,UG,spinach
"Vitamin E, added",0.0,MG,spinach
"Vitamin B-12, added",0.0,UG,spinach
Cholesterol,3.0,MG,spinach
"Fatty acids, total saturated",0.454,G,spinach
SFA 4:0,0.013,G,spinach
SFA 6:0,0.01,G,spinach
SFA 8:0,0.007,G,spinach
SFA 10:0,0.016,G,spinach
SFA 12:0,0.019,G,spinach
SFA 14:0,0.066,G,spinach
SFA 16:0,0.238,G,spinach
SFA 18:0,0.075,G,spinach
MUFA 18:1,0.229,G,spinach
PUFA 18:2,0.078,G,spinach
PUFA 18:3,0.056,G,spinach
PUFA 20:4,0.001,G,spinach
PUFA 22:6 n-3 (DHA),0.0,G,spinach
MUFA 16:1,0.025,G,spinach
PUFA 18:4,0.0,G,spinach
MUFA 20:1,0.005,G,spinach
PUFA 20:5 n-3 (EPA),0.0,G,spinach
MUFA 22:1,0.0,G,spinach
PUFA 22:5 n-3 (DPA),0.0,G,spinach
"Fatty acids, total monounsaturated",0.248,G,spinach
"Fatty acids, total polyunsaturated",0.13,G,spinach
Folic acid,0.0,UG,squid
SFA 4:0,0.0,G,squid
SFA 6:0,0.0,G,squid
SFA 10:0,0.0,G,squid
SFA 8:0,0.0,G,squid
SFA 12:0,0.0,G,squid
Lutein + zeaxanthin,0.0,UG,squid
Vitamin E (alpha-tocopherol),1.2,MG,squid
Caffeine,0.0,MG,squid
Theobromine,0.0,MG,squid
"Sugars, Total",0.0,G,squid
Vitamin K (phylloquinone),0.0,UG,squid
"Carotene, beta",0.0,UG,squid
"Carotene, alpha",0.0,UG,squid
"Cryptoxanthin, beta",0.0,UG,squid
Lycopene,0.0,UG,squid
"Vitamin D (D2 + D3), International Units",0.0,IU,squid
"Choline, total",65.0,MG,squid
"Folate, DFE",5.0,UG,squid
Vitamin D3 (cholecalciferol),0.0,UG,squid
Vitamin D (D2 + D3),0.0,UG,squid
Energy,92.0,KCAL,squid
"Folate, food",5.0,UG,squid
"Vitamin A, IU",33.0,IU,squid
Retinol,10.0,UG,squid
"Vitamin A, RAE",10.0,UG,squid
"Alcohol, ethyl",0.0,G,squid
Cholesterol,233,MG,squid
"Fatty acids, total saturated",0.358,G,squid
Tryptophan,0.174,G,squid
Threonine,0.67,G,squid
Methionine,0.351,G,squid
Phenylalanine,0.558,G,squid
Tyrosine,0.498,G,squid
Alanine,0.942,G,squid
Glutamic acid,2.12,G,squid
Glycine,0.974,G,squid
Proline,0.635,G,squid
SFA 14:0,0.036,G,squid
PUFA 22:6 n-3 (DHA),0.342,G,squid
MUFA 16:1,0.008,G,squid
PUFA 20:5 n-3 (EPA),0.146,G,squid
PUFA 22:5 n-3 (DPA),0.004,G,squid
Protein,15.6,G,squid
Ash,1.41,G,squid
"Fiber, total dietary",0.0,G,squid
"Iron, Fe",0.68,MG,squid
"Magnesium, Mg",33.0,MG,squid
"Phosphorus, P",221,MG,squid
"Sodium, Na",44.0,MG,squid
"Copper, Cu",1.89,MG,squid
"Manganese, Mn",0.035,MG,squid
"Vitamin C, total ascorbic acid",4.7,MG,squid
Thiamin,0.02,MG,squid
Riboflavin,0.412,MG,squid
"Folate, total",5.0,UG,squid
Vitamin B-12,1.3,UG,squid
SFA 16:0,0.263,G,squid
SFA 18:0,0.058,G,squid
MUFA 18:1,0.046,G,squid
PUFA 18:2,0.002,G,squid
PUFA 18:3,0.004,G,squid
PUFA 20:4,0.009,G,squid
PUFA 18:4,0.006,G,squid
MUFA 20:1,0.044,G,squid
MUFA 22:1,0.007,G,squid
"Fatty acids, total monounsaturated",0.107,G,squid
"Fatty acids, total polyunsaturated",0.524,G,squid
Total lipid (fat),1.38,G,squid
"Carbohydrate, by difference",3.08,G,squid
Water,78.6,G,squid
"Calcium, Ca",32.0,MG,squid
"Potassium, K",246,MG,squid
"Zinc, Zn",1.53,MG,squid
Niacin,2.18,MG,squid
Pantothenic acid,0.5,MG,squid
Vitamin B-6,0.056,MG,squid
Isoleucine,0.678,G,squid
Leucine,1.1,G,squid
Lysine,1.16,G,squid
Cystine,0.204,G,squid
Valine,0.68,G,squid
Arginine,1.14,G,squid
Histidine,0.299,G,squid
Aspartic acid,1.5,G,squid
Serine,0.698,G,squid
"Vitamin B-12, added",0.0,UG,squid
"Vitamin E, added",0.0,MG,squid
"Selenium, Se",44.8,UG,squid
Protein,11.9,G,steak
Total lipid (fat),9.12,G,steak
"Carbohydrate, by difference",4.34,G,steak
Energy,145,KCAL,steak
"Alcohol, ethyl",0.0,G,steak
Water,73.6,G,steak
Caffeine,0.0,MG,steak
Theobromine,0.0,MG,steak
"Sugars, total including NLEA",1.67,G,steak
"Fiber, total dietary",0.7,G,steak
"Calcium, Ca",17.0,MG,steak
"Iron, Fe",1.24,MG,steak
"Magnesium, Mg",16.0,MG,steak
"Phosphorus, P",89.0,MG,steak
"Potassium, K",202,MG,steak
"Sodium, Na",244,MG,steak
"Zinc, Zn",1.96,MG,steak
"Copper, Cu",0.065,MG,steak
"Selenium, Se",11.6,UG,steak
Retinol,0.0,UG,steak
"Vitamin A, RAE",9.0,UG,steak
"Carotene, beta",101,UG,steak
"Carotene, alpha",7.0,UG,steak
Vitamin E (alpha-tocopherol),1.26,MG,steak
Vitamin D (D2 + D3),0.0,UG,steak
"Cryptoxanthin, beta",2.0,UG,steak
Lycopene,0.0,UG,steak
Lutein + zeaxanthin,173,UG,steak
"Vitamin C, total ascorbic acid",22.6,MG,steak
Thiamin,0.054,MG,steak
Riboflavin,0.083,MG,steak
Niacin,2.26,MG,steak
Vitamin B-6,0.256,MG,steak
"Folate, total",13.0,UG,steak
Vitamin B-12,0.61,UG,steak
"Choline, total",46.0,MG,steak
Vitamin K (phylloquinone),20.0,UG,steak
Folic acid,0.0,UG,steak
"Folate, food",13.0,UG,steak
"Folate, DFE",13.0,UG,steak
"Vitamin E, added",0.0,MG,steak
"Vitamin B-12, added",0.0,UG,steak
Cholesterol,32.0,MG,steak
"Fatty acids, total saturated",2.03,G,steak
SFA 4:0,0.0,G,steak
SFA 6:0,0.0,G,steak
SFA 8:0,0.0,G,steak
SFA 10:0,0.007,G,steak
SFA 12:0,0.007,G,steak
SFA 14:0,0.099,G,steak
SFA 16:0,1.35,G,steak
SFA 18:0,0.522,G,steak
MUFA 18:1,3.51,G,steak
PUFA 18:2,2.2,G,steak
PUFA 18:3,0.308,G,steak
PUFA 20:4,0.008,G,steak
PUFA 22:6 n-3 (DHA),0.0,G,steak
MUFA 16:1,0.156,G,steak
PUFA 18:4,0.0,G,steak
MUFA 20:1,0.045,G,steak
PUFA 20:5 n-3 (EPA),0.001,G,steak
MUFA 22:1,0.0,G,steak
PUFA 22:5 n-3 (DPA),0.006,G,steak
"Fatty acids, total monounsaturated",3.72,G,steak
"Fatty acids, total polyunsaturated",2.52,G,steak
"Vitamin E, added",0.0,MG,strawberry
SFA 4:0,0.0,G,strawberry
SFA 6:0,0.0,G,strawberry
PUFA 20:3,0.0,G,strawberry
"Sodium, Na",334,MG,strawberry
"Alcohol, ethyl",0.0,G,strawberry
Vitamin B-12,0.0,UG,strawberry
"Vitamin B-12, added",0.0,UG,strawberry
Cholesterol,0.0,MG,strawberry
"Magnesium, Mg",12.0,MG,strawberry
SFA 8:0,0.0,G,strawberry
PUFA 20:5 n-3 (EPA),0.0,G,strawberry
PUFA 22:6 n-3 (DHA),0.0,G,strawberry
MUFA 14:1,0.0,G,strawberry
MUFA 15:1,0.0,G,strawberry
"Vitamin D (D2 + D3), International Units",0.0,IU,strawberry
Caffeine,0.0,MG,strawberry
Theobromine,0.0,MG,strawberry
"PUFA 18:3 n-3 c,c,c (ALA)",0.314,G,strawberry
PUFA 20:3 n-3,0.0,G,strawberry
PUFA 18:3i,0.0,G,strawberry
PUFA 22:4,0.0,G,strawberry
MUFA 16:1,0.011,G,strawberry
SFA 22:0,0.02,G,strawberry
PUFA 22:5 n-3 (DPA),0.0,G,strawberry
SFA 17:0,0.013,G,strawberry
SFA 24:0,0.011,G,strawberry
TFA 16:1 t,0.0,G,strawberry
MUFA 24:1 c,0.0,G,strawberry
MUFA 18:1 c,2.68,G,strawberry
"PUFA 18:2 n-6 c,c",2.88,G,strawberry
MUFA 22:1 c,0.0,G,strawberry
MUFA 17:1,0.004,G,strawberry
"Fatty acids, total trans-monoenoic",0.011,G,strawberry
SFA 12:0,0.013,G,strawberry
SFA 14:0,0.06,G,strawberry
"Phosphorus, P",87.0,MG,strawberry
"Fatty acids, total trans",0.028,G,strawberry
"Fatty acids, total saturated",3.62,G,strawberry
Vitamin K (Dihydrophylloquinone),0.0,UG,strawberry
Vitamin K (phylloquinone),15.4,UG,strawberry
"Folate, food",20.0,UG,strawberry
Energy,388,KCAL,strawberry
Galactose,0.0,G,strawberry
"Fiber, total dietary",1.0,G,strawberry
"Iron, Fe",5.51,MG,strawberry
"Cryptoxanthin, beta",3.0,UG,strawberry
Lycopene,0.0,UG,strawberry
"Tocopherol, delta",1.25,MG,strawberry
"Tocotrienol, gamma",0.25,MG,strawberry
"Tocotrienol, delta",0.0,MG,strawberry
"Vitamin C, total ascorbic acid",0.0,MG,strawberry
Thiamin,0.649,MG,strawberry
Riboflavin,0.558,MG,strawberry
"Folate, total",111,UG,strawberry
"Copper, Cu",0.069,MG,strawberry
"Manganese, Mn",0.324,MG,strawberry
"Vitamin A, IU",680,IU,strawberry
Retinol,202,UG,strawberry
"Vitamin A, RAE",202,UG,strawberry
"Carotene, beta",3.0,UG,strawberry
"Carotene, alpha",3.0,UG,strawberry
Protein,4.2,G,strawberry
Ash,1.2,G,strawberry
Starch,33.0,G,strawberry
Fructose,4.39,G,strawberry
Lactose,0.72,G,strawberry
"Sugars, Total",26.1,G,strawberry
"Calcium, Ca",16.0,MG,strawberry
"Potassium, K",102,MG,strawberry
"Zinc, Zn",0.38,MG,strawberry
"Selenium, Se",3.1,UG,strawberry
Vitamin E (alpha-tocopherol),0.9,MG,strawberry
Lutein + zeaxanthin,52.0,UG,strawberry
"Tocopherol, beta",0.19,MG,strawberry
"Tocopherol, gamma",3.33,MG,strawberry
"Tocotrienol, alpha",0.16,MG,strawberry
"Tocotrienol, beta",0.58,MG,strawberry
Niacin,6.79,MG,strawberry
Pantothenic acid,0.273,MG,strawberry
Vitamin B-6,0.52,MG,strawberry
"Choline, total",6.4,MG,strawberry
Vitamin K (Menaquinone-4),0.0,UG,strawberry
Folic acid,91.0,UG,strawberry
"Folate, DFE",174,UG,strawberry
"Fatty acids, total trans-polyenoic",0.017,G,strawberry
PUFA 20:4 n-6,0.0,G,strawberry
Total lipid (fat),9.95,G,strawberry
"Carbohydrate, by difference",70.3,G,strawberry
Sucrose,1.78,G,strawberry
Glucose,15.2,G,strawberry
Maltose,4.03,G,strawberry
Water,14.3,G,strawberry
SFA 10:0,0.018,G,strawberry
SFA 16:0,3.01,G,strawberry
SFA 18:0,0.427,G,strawberry
SFA 20:0,0.033,G,strawberry
MUFA 18:1,2.69,G,strawberry
PUFA 18:2,2.9,G,strawberry
PUFA 18:3,0.328,G,strawberry
PUFA 20:4,0.003,G,strawberry
PUFA 18:4,0.0,G,strawberry
MUFA 20:1,0.02,G,strawberry
MUFA 22:1,0.0,G,strawberry
"Fatty acids, total monounsaturated",2.72,G,strawberry
"Fatty acids, total polyunsaturated",3.24,G,strawberry
SFA 15:0,0.006,G,strawberry
TFA 18:1 t,0.011,G,strawberry
TFA 22:1 t,0.0,G,strawberry
TFA 18:2 t not further defined,0.017,G,strawberry
PUFA 18:2 CLAs,0.005,G,strawberry
"PUFA 20:2 n-6 c,c",0.002,G,strawberry
MUFA 16:1 c,0.011,G,strawberry
"PUFA 18:3 n-6 c,c,c",0.014,G,strawberry
Vitamin D (D2 + D3),0.0,UG,strawberry
Protein,2.35,G,sugar snap pea
Total lipid (fat),0.0,G,sugar snap pea
"Carbohydrate, by difference",7.06,G,sugar snap pea
Energy,41.0,KCAL,sugar snap pea
"Sugars, Total",3.53,G,sugar snap pea
"Fiber, total dietary",2.4,G,sugar snap pea
"Calcium, Ca",47.0,MG,sugar snap pea
"Iron, Fe",2.12,MG,sugar snap pea
"Sodium, Na",0.0,MG,sugar snap pea
"Vitamin A, IU",1180.0,IU,sugar snap pea
"Vitamin C, total ascorbic acid",63.5,MG,sugar snap pea
Cholesterol,0.0,MG,sugar snap pea
"Fatty acids, total trans",0.0,G,sugar snap pea
"Fatty acids, total saturated",0.0,G,sugar snap pea
Protein,1.34,G,sukkot
Total lipid (fat),2.15,G,sukkot
"Carbohydrate, by difference",29.6,G,sukkot
Energy,134,KCAL,sukkot
"Alcohol, ethyl",0.0,G,sukkot
Water,66.3,G,sukkot
Caffeine,0.0,MG,sukkot
Theobromine,0.0,MG,sukkot
"Sugars, total including NLEA",24.2,G,sukkot
"Fiber, total dietary",1.8,G,sukkot
"Calcium, Ca",39.0,MG,sukkot
"Iron, Fe",0.12,MG,sukkot
"Magnesium, Mg",8.0,MG,sukkot
"Phosphorus, P",37.0,MG,sukkot
"Potassium, K",134,MG,sukkot
"Sodium, Na",62.0,MG,sukkot
"Zinc, Zn",0.14,MG,sukkot
"Copper, Cu",0.025,MG,sukkot
"Selenium, Se",0.4,UG,sukkot
Retinol,3.0,UG,sukkot
"Vitamin A, RAE",5.0,UG,sukkot
"Carotene, beta",21.0,UG,sukkot
"Carotene, alpha",0.0,UG,sukkot
Vitamin E (alpha-tocopherol),0.25,MG,sukkot
Vitamin D (D2 + D3),0.0,UG,sukkot
"Cryptoxanthin, beta",8.0,UG,sukkot
Lycopene,0.0,UG,sukkot
Lutein + zeaxanthin,22.0,UG,sukkot
"Vitamin C, total ascorbic acid",3.6,MG,sukkot
Thiamin,0.038,MG,sukkot
Riboflavin,0.084,MG,sukkot
Niacin,0.105,MG,sukkot
Vitamin B-6,0.045,MG,sukkot
"Folate, total",3.0,UG,sukkot
Vitamin B-12,0.08,UG,sukkot
"Choline, total",4.6,MG,sukkot
Vitamin K (phylloquinone),2.1,UG,sukkot
Folic acid,0.0,UG,sukkot
"Folate, food",3.0,UG,sukkot
"Folate, DFE",3.0,UG,sukkot
"Vitamin E, added",0.0,MG,sukkot
"Vitamin B-12, added",0.0,UG,sukkot
Cholesterol,2.0,MG,sukkot
"Fatty acids, total saturated",0.64,G,sukkot
SFA 4:0,0.012,G,sukkot
SFA 6:0,0.003,G,sukkot
SFA 8:0,0.003,G,sukkot
SFA 10:0,0.006,G,sukkot
SFA 12:0,0.004,G,sukkot
SFA 14:0,0.048,G,sukkot
SFA 16:0,0.488,G,sukkot
SFA 18:0,0.076,G,sukkot
MUFA 18:1,0.367,G,sukkot
PUFA 18:2,0.894,G,sukkot
PUFA 18:3,0.013,G,sukkot
PUFA 20:4,0.002,G,sukkot
PUFA 22:6 n-3 (DHA),0.0,G,sukkot
MUFA 16:1,0.024,G,sukkot
PUFA 18:4,0.0,G,sukkot
MUFA 20:1,0.0,G,sukkot
PUFA 20:5 n-3 (EPA),0.0,G,sukkot
MUFA 22:1,0.0,G,sukkot
PUFA 22:5 n-3 (DPA),0.0,G,sukkot
"Fatty acids, total monounsaturated",0.391,G,sukkot
"Fatty acids, total polyunsaturated",0.908,G,sukkot
"Choline, total",13.8,MG,swiss cheese
Betaine,0.1,MG,swiss cheese
PUFA 20:5 n-3 (EPA),0.009,G,swiss cheese
PUFA 22:6 n-3 (DHA),0.0,G,swiss cheese
"Tocotrienol, beta",0.0,MG,swiss cheese
Vitamin K (Dihydrophylloquinone),0.0,UG,swiss cheese
"Tocotrienol, gamma",0.0,MG,swiss cheese
"Tocotrienol, delta",0.0,MG,swiss cheese
SFA 18:0,3.18,G,swiss cheese
SFA 20:0,0.044,G,swiss cheese
PUFA 20:4,0.046,G,swiss cheese
PUFA 18:4,0.001,G,swiss cheese
MUFA 20:1,0.06,G,swiss cheese
"Fatty acids, total monounsaturated",7.26,G,swiss cheese
"Fatty acids, total polyunsaturated",1.14,G,swiss cheese
SFA 15:0,0.305,G,swiss cheese
TFA 18:1 t,0.7,G,swiss cheese
TFA 22:1 t,0.0,G,swiss cheese
TFA 18:2 t not further defined,0.191,G,swiss cheese
PUFA 18:2 CLAs,0.163,G,swiss cheese
"PUFA 20:2 n-6 c,c",0.007,G,swiss cheese
MUFA 16:1 c,0.464,G,swiss cheese
"PUFA 18:3 n-6 c,c,c",0.002,G,swiss cheese
PUFA 20:4 n-6,0.032,G,swiss cheese
SFA 4:0,0.679,G,swiss cheese
SFA 6:0,0.541,G,swiss cheese
SFA 10:0,0.766,G,swiss cheese
SFA 16:0,8.34,G,swiss cheese
Total lipid (fat),31.0,G,swiss cheese
"Carbohydrate, by difference",1.44,G,swiss cheese
Energy,1640.0,kJ,swiss cheese
Sucrose,0.0,G,swiss cheese
Glucose,0.0,G,swiss cheese
Maltose,0.0,G,swiss cheese
Water,37.6,G,swiss cheese
"Calcium, Ca",890,MG,swiss cheese
"Potassium, K",71.0,MG,swiss cheese
"Zinc, Zn",4.37,MG,swiss cheese
"Selenium, Se",30.1,UG,swiss cheese
Vitamin E (alpha-tocopherol),0.6,MG,swiss cheese
"Vitamin D (D2 + D3), International Units",0.0,IU,swiss cheese
Vitamin D2 (ergocalciferol),0.0,UG,swiss cheese
Lutein + zeaxanthin,8.0,UG,swiss cheese
"Tocopherol, beta",0.02,MG,swiss cheese
"Tocopherol, gamma",0.08,MG,swiss cheese
"Tocotrienol, alpha",0.13,MG,swiss cheese
Niacin,0.06,MG,swiss cheese
Pantothenic acid,0.352,MG,swiss cheese
Vitamin B-6,0.07,MG,swiss cheese
Vitamin K (Menaquinone-4),6.3,UG,swiss cheese
"Iron, Fe",0.13,MG,swiss cheese
"Magnesium, Mg",33.4,MG,swiss cheese
"Phosphorus, P",574,MG,swiss cheese
"Sodium, Na",185,MG,swiss cheese
"Copper, Cu",0.047,MG,swiss cheese
"Manganese, Mn",0.027,MG,swiss cheese
Retinol,287,UG,swiss cheese
"Vitamin A, RAE",292,UG,swiss cheese
"Carotene, beta",60.0,UG,swiss cheese
"Carotene, alpha",1.0,UG,swiss cheese
Vitamin D3 (cholecalciferol),0.0,UG,swiss cheese
Vitamin D (D2 + D3),0.0,UG,swiss cheese
"Cryptoxanthin, beta",2.0,UG,swiss cheese
Lycopene,1.0,UG,swiss cheese
"Tocopherol, delta",0.0,MG,swiss cheese
SFA 22:0,0.014,G,swiss cheese
PUFA 22:5 n-3 (DPA),0.018,G,swiss cheese
SFA 17:0,0.189,G,swiss cheese
SFA 24:0,0.009,G,swiss cheese
TFA 16:1 t,0.102,G,swiss cheese
MUFA 24:1 c,0.0,G,swiss cheese
MUFA 18:1 c,6.37,G,swiss cheese
"PUFA 18:2 n-6 c,c",0.731,G,swiss cheese
MUFA 22:1 c,0.002,G,swiss cheese
MUFA 17:1,0.063,G,swiss cheese
"Fatty acids, total trans-monoenoic",0.802,G,swiss cheese
MUFA 15:1,0.0,G,swiss cheese
"PUFA 18:3 n-3 c,c,c (ALA)",0.125,G,swiss cheese
PUFA 20:3 n-3,0.002,G,swiss cheese
PUFA 18:3i,0.002,G,swiss cheese
PUFA 22:4,0.007,G,swiss cheese
Thiamin,0.011,MG,swiss cheese
Riboflavin,0.303,MG,swiss cheese
"Folate, total",9.0,UG,swiss cheese
Vitamin B-12,3.02,UG,swiss cheese
Vitamin K (phylloquinone),1.4,UG,swiss cheese
Galactose,0.0,G,swiss cheese
Protein,27.0,G,swiss cheese
Ash,2.97,G,swiss cheese
Fructose,0.0,G,swiss cheese
Lactose,0.0,G,swiss cheese
Cholesterol,93.0,MG,swiss cheese
"Fatty acids, total trans",0.993,G,swiss cheese
"Fatty acids, total saturated",18.2,G,swiss cheese
SFA 8:0,0.326,G,swiss cheese
SFA 12:0,0.874,G,swiss cheese
SFA 14:0,2.92,G,swiss cheese
PUFA 22:2,0.002,G,swiss cheese
SFA 11:0,0.0,G,swiss cheese
PUFA 20:3 n-9,0.0,G,swiss cheese
Nitrogen,4.23,G,swiss cheese
"Choline, free",3.3,MG,swiss cheese
"Choline, from glycerophosphocholine",0.0,MG,swiss cheese
"Choline, from phosphocholine",0.1,MG,swiss cheese
"Choline, from sphingomyelin",4.4,MG,swiss cheese
"Choline, from phosphotidyl choline",6.0,MG,swiss cheese
"Sugars, Total NLEA",0.0,G,swiss cheese
"Fatty acids, total trans-dienoic",0.191,G,swiss cheese
MUFA 14:1 c,0.299,G,swiss cheese
MUFA 17:1 c,0.063,G,swiss cheese
MUFA 20:1 c,0.06,G,swiss cheese
PUFA 18:2 c,0.894,G,swiss cheese
PUFA 18:3 c,0.127,G,swiss cheese
PUFA 20:3 c,0.035,G,swiss cheese
PUFA 20:4c,0.046,G,swiss cheese
PUFA 20:5c,0.009,G,swiss cheese
PUFA 22:5 c,0.018,G,swiss cheese
PUFA 22:6 c,0.0,G,swiss cheese
PUFA 20:2 c,0.007,G,swiss cheese
Total fat (NLEA),27.6,G,swiss cheese
Protein,21.9,G,swordfish
Total lipid (fat),11.8,G,swordfish
"Carbohydrate, by difference",7.79,G,swordfish
Energy,231,KCAL,swordfish
"Alcohol, ethyl",0.0,G,swordfish
Water,57.4,G,swordfish
Caffeine,0.0,MG,swordfish
Theobromine,0.0,MG,swordfish
"Sugars, total including NLEA",0.14,G,swordfish
"Fiber, total dietary",0.3,G,swordfish
"Calcium, Ca",15.0,MG,swordfish
"Iron, Fe",0.98,MG,swordfish
"Magnesium, Mg",34.0,MG,swordfish
"Phosphorus, P",283,MG,swordfish
"Potassium, K",455,MG,swordfish
"Sodium, Na",348,MG,swordfish
"Zinc, Zn",0.79,MG,swordfish
"Copper, Cu",0.059,MG,swordfish
"Selenium, Se",62.2,UG,swordfish
Retinol,53.0,UG,swordfish
"Vitamin A, RAE",54.0,UG,swordfish
"Carotene, beta",9.0,UG,swordfish
